ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,BMI
36641,Igor Franceti,M,23,195,90,Croatia,CRO,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,Bronze,23.668639053254438
36693,Jasminka Francki,F,23,159,55,Croatia,CRO,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Women's Air Rifle, 10 metres",,21.75546853368142
36693,Jasminka Francki,F,23,159,55,Croatia,CRO,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",,21.75546853368142
36741,Kristina Frani (-Elez),F,25,180,66,Croatia,CRO,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,,20.37037037037037
36742,Lovrenco Franievi,M,22,189,83,Croatia,CRO,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Butterfly,,23.23563170124017
36744,Mario Franji,M,35,187,89,Bosnia and Herzegovina,BIH,1998 Winter,1998,Winter,Nagano,Bobsleigh,Bobsleigh Men's Four,,25.45111384369012
36790,Nikola Frankovi,M,21,192,98,Croatia,CRO,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,,26.58420138888889
36791,Tihomir Frankovi,M,25,192,96,Croatia,CRO,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Coxless Fours,,26.041666666666668
36791,Tihomir Frankovi,M,29,192,96,Croatia,CRO,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Coxed Eights,Bronze,26.041666666666668
36792,Valner Frankovi,M,28,,,Croatia,CRO,1996 Summer,1996,Summer,Atlanta,Handball,Handball Men's Handball,Gold,
36832,Damjan Fras,M,18,178,60,Slovenia,SLO,1992 Winter,1992,Winter,Albertville,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",,18.93700290367378
36832,Damjan Fras,M,28,178,60,Slovenia,SLO,2002 Winter,2002,Winter,Salt Lake City,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",,18.93700290367378
